sku,account_ref,user_ref,quantity,value
VIRGKU,OWCSBCZLICAHHB,AWKVLYHYSITR,3,366.86
LOOTEY,NLNFNRSBQBSIXB,DFLKOVTXOTUI,1,427.57
RDTMMN,,,3,522.34
KCQKMQ,,,2,46.63
RDDLTH,,,2,570.76
MWPAPU,,,1,137.11
PLENZV,ZEOFYZTSVLKQKW,TJUEZBQKJUFD,1,600.47
HYZOST,SUNKLOSPEWWOZN,WGNQAJCJQREE,2,305.77
JPAOSC,,,1,19.02
LQBPRV,UQGTTHRPKBDHUM,,3,303.91
IBLLNP,ICICBIISKFTPPL,YKQAWVWGENVM,2,378.41
QYBDFD,UIZQAVHZPHDQHM,YZCCYICPEZNQ,1,370.28
LGUFHI,PKMGQUKJPOODHF,BYGLSFQNHCUN,1,443.77
IGAEIG,UOWXATHHXSJHDE,,1,188.45
VHHMMN,EHSOTTFRYONUGY,IHZBOZJUSOKN,1,365.78
LDGQOW,,,2,261.98
FSAAPN,URYRSTDCDYMLNJ,ASSJYJKZVUHI,2,480.53
UWGWCI,,,1,115.29
GTGZXQ,,,3,603.85
LYFCJC,,,3,487.55
BPKAZB,,,1,64.35
YMRUWZ,,,2,303.86
BLRRTH,,,3,58.78
OYPCMH,WRNAJPEGUCGFKB,KCNMUHEFWIKY,1,464.33
HBYRSE,UEWAGCIKXRVQZB,,1,415.98
JRBXJV,,,3,59.35
RCYUMS,EMUWNDKQDSYBXT,,2,75.12
LJUXYU,VYZPQXWGLBFHVC,,1,498.88
RVMLZP,FESHWTLWNOYOHE,FXREFOKHZFQU,3,218.32
SLDSLY,,,2,214.84
HHDTQR,,,1,49.23
QYUODE,,,1,502.57
FPTQMP,,,1,585.19
OJKIMU,QUZAZRQSAQMRDC,ULQZXPHEECZE,1,451.7
ESVHVG,RHMXHURMGXQNMJ,,1,525.17
XUCLOU,,,3,328.43
WEGHIH,ZIITWSNWPJSAZK,PADMUMHFSGTW,3,38.73
CKEUAR,KMIMTMWSKXZPDK,VDCGFKGAZMBY,2,461.65
WJJKMG,LTFVOLGSBFQQPO,,1,567.21
NVDTOC,,,1,127.8
WHVIZQ,IXZBWJHXAWEXPY,YLFAWSBFBLXB,1,415.56
HFUHGS,QIJPFFDWRUODAB,,2,303.61
OCJPEY,ZDWICJGZRNXAGE,,2,174.29
IBXYFZ,LZDRTTXHQLPRGV,,1,235.18
PGIXIJ,WVYMWKVENAHSIM,,1,156.25
IRNNAC,ZYDLMBLFHGZMOS,NMMKZQZYUVRW,3,140.23
BAHKKS,,,3,313.7
UORZKL,,,3,431
QENZVO,FGPCKJIWORZMKX,ESKGXDCKPIES,3,84.5
OKLYEB,CIHOQKCSVMVGVG,HYXQHDCSXJGN,1,702.93
JFDOET,,,1,156.29
CIVUZW,BHTUBXQNJDJKOF,,2,452.65
XQWAVY,VJRPJMAIFJVHZY,PJRAZFNIKAPY,2,341.02
VHLYTS,,,3,107.44
GNQAPN,VLQYOEBBARFHXU,,1,263.76
EDTAOR,,,2,262.35
SEDZRO,ZVXDMBNMNOWUTF,,2,452.27
JIHOSU,,,3,496.2
EPAFBK,,,2,443.55
MAGRFC,KJJDZTDDIUGDAN,BLORDETLUUAL,3,58
WCKPUS,,,3,37.91
LAHCMR,GWCJZOCSFZVCOV,,2,156.93
FAGKWL,,,1,459.05
MGDVOA,WPAVOUETESROGD,UCEBCWKIIGQP,2,102.67
PIRBZW,KQBHOPJSHUJBRV,DMEYHJWHTNID,2,395
UGNCLB,LMYJDOTNBUCGTB,,3,289.29
OSCOVF,BHTUBXQNJDJKOF,UGQVUBEKTSSG,1,143.92
DYOTMB,,,2,102.45
ZOQWKJ,,,2,177.31
MASACH,,,2,661.07
XPBAGL,,,1,354.88
BUVDNE,,,1,125.71
UGFYNP,NJFGQKWRFTZBKM,,1,374.6
FZRYAX,,,1,202.53
LWVLVR,KLIXKLXWFSHVOU,XJCEENHSXYPO,1,426.15
YIDVHI,,,2,108
YXREUX,FXWXKCYYENIUSL,TXWRAVEDYRTN,2,136.38
VZDCPA,EXBHUIXIKZAEBP,,1,637.16
QCUXAB,HISUQSKFKJZTBA,,1,233.79
MYDVOA,INOTGNRVSFFNLR,UUZHFSKNWVMX,1,150.42
OUYKUD,ZPJOVBWYQWTBQF,,3,347.72
MFILOM,VCYYEZBOLSPETA,QRKZSGZEYTND,1,578.45
HIBHZP,,,3,212.6
WLCAMV,,,2,63.23
PLDPXJ,CGZQNRMQEMQGWI,,2,356.56
GJGPJS,XOIFTQGBXSHVET,KAKFFZKQRSRU,3,442.22
MMLVYQ,,,1,8.13
QTNQOA,GSEUNCTWPDTWSU,,1,369.9
SVHZFE,,,3,259.73
FCFFKZ,,,2,439.54
UKAUHB,VCYYEZBOLSPETA,,3,80.42
QOGVVY,,,1,489.07
QRCWJE,,,2,458.04
QQITHM,FDRDXNVTZMCHSZ,,2,190.19
ATQYKJ,DASATLZPBVTVBW,,1,386.39
ONJTEK,,,3,503.15
RTEMYV,,,2,640.8
LKQJSP,,,3,454.66
HJCBXT,WKAXOTFPFMIZXO,VWXEDWKNVUOU,3,342.45
XAIQKX,,,1,192.15
WEMJYP,,,3,194.41
LMQXRE,,,2,516.74
EGQWHO,WOWGCGMKDOVVKJ,TOANEZUAVYFY,2,484.04
PQOHHQ,,,3,547.49
NNGMCW,,,1,424.92
JZIRUM,ZNKGXDSSHUZWKM,,1,620.08
JRZJYE,,,1,470.01
PWJHXF,CFJBWDHBUISCJX,FWUZONNEXRLD,1,170.15
AYRBBE,,,1,659.23
KVEHLE,ZNAYMIEGMBYZNB,,2,71.94
CPESAE,CGZQNRMQEMQGWI,,1,385.52
NWUKJZ,VRZXXTRLLKAYOY,,3,273.09
QVOODM,,,3,95.07
SBLJUT,,,3,385.31
KQCWRC,,,2,513.76
CPHUXN,ZEOFYZTSVLKQKW,NMMKZQZYUVRW,3,585.15
ZPIVEQ,KAFTCONUJCNALJ,,3,124.99
DMXHKW,,,3,346.86
EECTXM,PBMTQDFTOASZWP,UVMDMKQHPVRA,2,331.48
SIJDNI,RBLDXTOYWDMKFS,,1,178.67
DYAFAG,,,2,421.77
TXQBIP,IFFFRKMDSBWNUC,,1,134.7
JUVXFY,XNLQKVSVETSQBX,,2,506.73
AZWFRQ,SXXXNOYRSVAIWY,SIVIVXCGRANM,2,83.4
INNJXA,XNLQKVSVETSQBX,,3,57.24
AXLCLZ,,,2,357.75
IEQXCO,INOTGNRVSFFNLR,DGYJXMVERRUE,2,21.29
MOUFAR,SUNKLOSPEWWOZN,,3,533.47
CDAWWJ,,,1,353.72
YSIWJA,,,1,51.12
XDVVNQ,MHARMSXMKRHDLD,BAYSCDTJHSTA,2,166.63
JPAORD,ZEOFYZTSVLKQKW,LQCEYGHFEWSE,1,329.15
TVBQXQ,BVMXDEGXJVBVRO,,1,159.13
DNRCRJ,,,2,366.77
AVGUUP,,,1,65.02
OQAZRN,XVRYMRTTPAWSKJ,,1,288.6
UDXWBA,WCZXVIGFOCRPXQ,UUZHFSKNWVMX,3,180.97
QQDDFC,ASHIELCHUOBMAK,,3,174.72
JXFPYS,,,1,406.71
DVOHLG,,,3,297.57
MFRRUY,,,1,346.24
PIBXXZ,BNEJSUAGGVCLFH,,2,330.08
FAEYCU,,,1,341.48
OVOJZK,EHIUNZUJDTYFLB,ILJZACQYOHIR,3,419.03
NLTNKK,,,1,101.66
MKWYLC,,,1,597.84
MTYYHT,,,1,524.9
COMYDT,,,2,231.86
AFFWQK,,,1,237.63
AADFLJ,MNHNYKWZFMAUGK,,2,575.24
GEWSUZ,,,3,269.76
LFOWDZ,FGPCKJIWORZMKX,EWMIIZKRTZHG,1,552.67
JXQOVP,,,1,179.28
BMMPJV,,,3,281.9
VNXLKJ,LIVBZBBCQCWGWN,,2,371.57
ANXCUI,,,2,341.93
WFGGNS,,,2,551.23
VYJAQO,,,3,86.92
DZRCJU,XBJZBSMBXQOCXT,YBHOIWDQDUBU,2,535.53
YNGGNH,,,3,357.61
BZCNOL,LRRXUXIRTTHVNI,,3,488.46
DBGNZQ,OZXECALYNCVYOW,HUKMSMEUPCTK,1,102.29
BHOIIM,ZMSLNSLPTHCGQN,,1,33.13
HJHFZL,RBLDXTOYWDMKFS,BNDCHTHOVZGH,2,531.99
YGKPOW,XUVVDDVFKWRZVS,,2,675.53
WXBOOI,,,2,297.86
ZQLNZM,SEDEWBHTTEJHME,HIPFJCAEQRXG,3,481.23
DTBULV,,,3,184.37
JNETJM,,,1,24.99
JVQQCS,PLEGUQKBMNCYDI,,3,454.87
FJLBLU,NUZBLRRMOLNDGR,,3,186.27
YSLNQH,,,3,530.67
VWWCZZ,TFMGIHDKYDRTPW,,3,362.06
UVMZOS,,,2,495.13
EMBSHK,,,2,55
PLEINO,ZEOFYZTSVLKQKW,RPBFOONUPAEY,1,253.52
OMTJHQ,OJHVDTDXCQUOSJ,,2,386.96
DYTKCP,NJOZWEISLGCJOV,LIJEVEIBPXRT,3,599.56
UXWZJM,IWONRTJTUPYGPA,NWVOEHEKJJET,2,430.2
GLEWVY,,,3,57.25
JPDFNO,TVRVCOJNACBFCZ,PVSMPWJPFQPJ,2,305.56
TMUIKF,LPAOXUGMQSJBOC,ZKQPNILSGRJM,3,103.12
YOTLTL,,,1,53.03
XFEVNK,CBRYHANELZRGYN,QQRYNZLWDYWE,3,19.98
DBJVBC,,,2,346.83
XAIQKX,,,2,132.41
MPWRJR,LAXQVBGYYZFATQ,,2,411.36
OQXTWZ,UQVCGXHCUFZXNM,,2,437.99
PJOINX,,,3,202.51
FOUEFW,FSFJUSAYKTHWOQ,PBYEAMQNPYNL,3,549.55
XPRGIA,GWBYMIOUTREPNX,INXMZSHKKQHB,1,224.92
CRVHFI,,,1,452.42
JYCNMF,,,2,214.97
LDDWCS,MNHNYKWZFMAUGK,MQAVPCNUQDVW,1,614.45
STFYQK,FZMKDJDNMGZHPJ,,2,185.81
LMEVPQ,EZLKATYPGHQGAJ,CDSUJDJMZTUZ,1,498.11
ODGRSX,QUWRZCFYCUINZO,AJTQKQXYSSFO,3,601.75
ZSSJPI,,,1,393.77
DSMCBP,,,3,544.81
EXEHLE,,,1,688.47
VZWUOJ,CHZFCBLBDUUVDL,,1,451.41
KUWIGU,QAPOVZVAEPWGHD,,3,479.01
PRFLBQ,OOQOGDHJAEEKUY,,2,529.92
BRWKDN,,,1,170.29
ZPCAIC,ZXIPVKDLMEHBIY,,1,117.87
HLLYJB,GERWVLGQMHQFQI,TTFCHCGQIMMZ,1,64.36
NYLVJY,,,1,379.94
PLKFUX,,,1,101.37
FKBWPZ,,,1,222.92
JRZJYE,HNQYSTEGHBEKDM,,1,470.01
QUXZMC,ULEDFHZVVKQECR,,3,296.81
LDBSQD,,,3,333.19
EUOEYK,GWUQILVCDNPSOC,,3,555.15
OUHNSU,,,3,139.36
UBVUUC,,,2,183.92
ZSFXBX,,,2,207.34
HNYGDU,,,2,75.66
FDXERS,,,1,335.41
ARJIJT,BGMCDNYNGFVHEE,,2,321.78
DVLGCK,NQLTIZTHVZFQEX,KWUSDQSEGBOE,3,137.36
EWRNSL,,,1,442.51
MSQJXP,,,1,296.29
XBDFYQ,,,3,381.58
HNYGDU,,,1,51.74
NNVWPG,,,2,398.75
FXEQYV,,,3,531.5
IUQLYW,CKTAZQGXASXMVQ,JIDXVFGZMKKV,1,421.29
PGCIMN,RRIHQKERXHZBKV,ODKBXRLQIXQU,1,134.05
UZJFTE,BGBMMAOFBNPGOC,OVPCPEXGWGUG,1,555.49
KAZLST,,,1,386.86
SERRTY,,,1,320.14
RQOPHP,EVZUAIAOHSSBVN,QNJPAGCMZNCG,3,459.01
BIRFFN,EZKPOPXHRZEPJX,JUSKRRHXJVON,1,277.58
FATOQR,,,3,608.64
SAPLWI,,,3,280.95
GGSCJY,LZDRTTXHQLPRGV,,2,509.34
DHPUCB,,,3,239.97
JPAORD,,,1,444.36
XKBXWM,FDRDXNVTZMCHSZ,,3,61
WNSCAP,XOKZHKQXYEIPOG,HIMGRVWNMLKR,1,263.72
QDCDSC,,,3,473.61
UFXBXE,KJJDZTDDIUGDAN,ENNCALJMIYWR,2,566.65
DYVEDL,,,3,235.17
UGCFUD,,,2,19.75
DOFNSA,,,1,138.9
KAWEYB,,,3,381.97
KGLNPA,,,1,333.45
ZZIDEB,,,2,264.02
VWWCZZ,YAZOAXOPAOCMTI,TPGFRQRQQFXC,2,268.53
TJHGHU,IAQMPNKGVMGKZD,IOBUFPOZTKQO,2,105.91
QGCPYT,,,3,60.8
YJECOC,,,3,694.4
XZXXIG,,,1,622.9
VTRUNT,TTGKVEJKUIYEQL,JEFMGDUBDVTS,3,559.69
JWVGHG,QOVQVZCVNPYBXR,RODXZFLUWJIK,3,22.43
DYAFAG,TIQMBQJKEODESP,,3,450.21
BKVLXP,,,2,229.9
MREWVC,,,2,243.53
JFLDXM,,,3,312.99
QWCVQM,,,2,550.81
OQIMLI,,,3,328.99
MHDEPO,,,3,385.94
OCEUTR,,,3,563.33
EXTBXK,RXRCGWWPVTICMY,WUJLZWIOAXPM,3,110.22
GOAPUM,,,3,220.95
QYFJVO,,,1,498.33
YWYZTU,,,3,146.94
XKJESS,,,2,71.25
JAHVZR,,,2,79.79
AFUSGS,,,2,270.66
STFYQK,,,3,136.38
KJDDSV,,,1,329.3
KFUWGO,QWQQSEVFONTTGP,,3,494
YKUYND,,,3,464.18
UDFGYT,,,3,205.07
IGNNEY,,,1,299.66
VDLUMP,RGQSRWWUQWRNUE,TTOXHKCMJWGE,2,519.2
UONWFF,,,3,366.53
YQWKTF,MFKXSSJNSCCIMH,,2,261.53
TAXEUT,WCZXVIGFOCRPXQ,,1,679.53
ZEDZWF,,,2,549.44
KNYVQS,VDGIMJDTEYXQQO,VCBANTRGDRII,2,455.17
KPBIIZ,MHKVBAHRKJKYAX,,1,590.07
QLYRYY,,,1,136.38
UORZKL,FOWPKHMHHBEEOP,TFJRTZQWYWSD,3,518.17
OALWUO,RLGSXPUPQMEALX,,3,247.74
NDWQFT,,,2,554.99
GYGACT,AGYWPXNICPCGSN,OAXUFDBTBRDX,1,428.21
DBFJKM,,,1,487.54
NWJVBK,ZMSLNSLPTHCGQN,QPEGSAFAJTVM,3,256.48
LQUESI,,,1,132.51
WTDWAM,,,3,408.28
YFPQSH,,,1,63.82
IXTODK,,,2,463.36
NNEOCN,,,3,369.51
DDJAFP,QACGHPRCBSCGBF,,1,340.4
DUFXFB,VAPCCDKZTNXNAT,,3,132.48
IIIYOD,SDNGQJVONNBRAD,,2,483.78
PHQGKG,,,2,306.64
SCFCOX,,,1,325.22
LZDJVT,XVRYMRTTPAWSKJ,,2,230.63
TLSPCI,WMMMMUPDVQTSLZ,SECDYUMYFIMU,2,257.09
QHFTWV,,,1,260.73
CVQHQZ,,,2,36.05
NRHHDF,QRIUBAXHXNUZIM,WEPHNLQOJWIV,1,349.27
IWKDVU,WTXIQLAROTGDWT,QQRYNZLWDYWE,1,593.04
PTEIHD,,,1,287.36
YPHLJJ,,,3,292.68
XYKSHK,LNMCDCKCBTDXBV,CICZNXNCIFYA,2,83.61
JGZIPD,,,1,431.7
ZDLZCC,,,3,455.42
UYULBN,XMFHNQODVRRBEV,BWLAGRUTEYAW,1,41.97
VBCNCQ,EADEXETGYEYNSM,,2,179.43
GRCNHD,,,1,592.42
VGJIOF,,,3,36.07
THRAHN,,,1,42.07
MHMKLK,,,3,627.14
XUCLOU,,,3,420.68
XFVEGQ,,,2,206.06
LRBDSM,,,1,498.75
MWQNTT,LMYJDOTNBUCGTB,QSLQDUELLCBV,1,89.19
MOSWRN,,,2,174.87
FGVHBC,,,3,597.52
XTHBEB,UKLNSIKIJRKQUZ,NFFMLISZJIWY,3,179.06
ASSHXR,,,2,299.79
NTGJAR,,,1,210.69
UWLXMM,ADKFPFIQAILGXJ,,1,478.01
RWUHYQ,LIVBZBBCQCWGWN,,3,414.71
KGOGIJ,,,3,378.47
MWFJDK,EORSAJVJMZURSC,,3,453.06
ZWMFCH,,,3,164.85
NPKWMR,FDRDXNVTZMCHSZ,PJNRAERYMMZG,1,159.53
ZZITOG,,,2,382.93
GXXTRN,,,1,193.89
VGIVQT,,,1,285.04
ZVYYCG,,,2,352.75
XWPYHB,,,2,229.4
ATRVCR,,,1,406.51
PSQCFO,BVMXDEGXJVBVRO,BKNVNIUTRUDV,2,296.52
NCMIAH,CZCBWGVPRKZQSC,,3,568.6
UATGJW,NYLZQHEJNENPLS,INNDJUPPUMPN,2,217.98
RJINDQ,,,1,572.74
GWIMXN,,,1,225.46
ZTWUEL,KMBVHPKLFUZADK,,1,203.96
PKEYSY,ZYDLMBLFHGZMOS,,3,220.36
SGARWO,,,1,173.15
BHEXXT,,,3,57
UDZECG,,,3,215.06
ASSRRL,,,3,447.42
VCAGUJ,,,3,69.84
TZNQBO,,,2,503.49
LAPGSE,,,2,416.73
YQAVNM,,,2,73.98
RNLEHS,,,1,210.61
TEFZYQ,,,3,625.63
SFBWPI,TPGFQPQSICIVTM,ILJZACQYOHIR,3,309.86
SXLWYX,,,1,565.66
RRSZZZ,,,1,385.38
DBGKBZ,GOWMTMBEPGGKXU,ESMFDGNLHQBK,1,176.29
UFRAIE,DTIRZHVIFOURDF,AQXJBIMHEZNC,2,626.21
DRRVPL,XOKZHKQXYEIPOG,,3,254.14
UFCGMI,UALBUAKYOGYIOP,PXMFVTLLSHCV,3,317.87
RWMMCQ,,,2,13.86
HANNOL,UOWXATHHXSJHDE,,3,346.16
HOAWKE,,,1,197.75
IBMWCV,,,3,244.87
INXMCV,,,2,524.39
WGMKWU,ZTTZIDSLAMDSTV,ZGHSJRMUECHF,1,490.12
IIHWOK,MGWKMVNHKPDSEL,,2,381.41
XIPJGL,SGWEZEUJSPMXMB,,1,77.97
ZUHNMV,ETJCIXNTVDVENS,VLOLGJWLRBLV,2,358.26
GYHXEX,EZNMMISHERPEER,FBAWDTAKUFAC,1,48.84
CVSNMO,BGBMMAOFBNPGOC,UOVJEBWAKRPD,2,593.85
PSYDGN,MQJTMSBWBMQMJO,,3,612.89
ANZQXO,,,2,252.38
MKWYLC,HKLZHIESSWXOMN,,2,602.87
NBRWHH,,,3,146.69
XVKXDO,ZQPTWAMMBXNTWN,ADGOSLNGMUMO,1,124.61
YLOIQI,,,2,525.28
MTSPSH,BIFFXIMDORCDVP,PCSZEAFMPEOW,3,238.27
XWIOOO,MFKXSSJNSCCIMH,KHTIFDSXYIPZ,3,543.28
MPWRJR,LKNRCEIWFUTMHA,,2,380.25
IVWSHT,QBGSLBOWLDKSFF,MCVOPYWDWRLG,3,441.23
SLWLTZ,RGQSRWWUQWRNUE,OOMQWSQOOTFL,1,460.5
WBYNIA,NRQXJZMMYINMJE,,3,326.3
CSOGDF,,,1,459.28
AWFMJA,,,3,65.81
BCVSMY,,,2,364.22
ZAMANR,GWCJZOCSFZVCOV,TAGJWDPHSCPS,3,99.47
QFCKRY,ZYDLMBLFHGZMOS,,2,398.08
YVPLWT,FESHWTLWNOYOHE,,2,591.2
LKHQEC,AGJTBYHMNUUOKO,CITZSNHCMXCC,3,96.58
LZSAZW,,,1,555.25
QRCWJE,DBGQOCYFKFHGYL,NGKEUVRUJPDS,2,362.27
HAFFYT,LRRXUXIRTTHVNI,TTFCHCGQIMMZ,2,287.67
JDYVJA,,,1,111.59
YPHLJJ,EUUFBXLUNUJAMS,OFXISARBNLYE,1,241.78
ADHJTK,SNXCBEQRGOKRRY,,2,283.01
HXSKZJ,,,2,545.09
PLDPXJ,OTFPKCDTUIXBBS,,2,460.22
DKHLFZ,ERCFQPBDQUIMGM,DACGLSLXFGQJ,1,337.1
YOSPGZ,GALHQACPTWQCJT,,2,211.62
NVDTOC,SQWIAEXFIHSALT,SOHLZOFRZCFR,2,136.41
UDZLAA,,,2,515.83
SKIQVJ,,,3,395.64
BLCNNR,,,3,232.74
XFYLQK,TFTHAAAOWRNIJO,,3,152.5
WEMJYP,ETEPLUYJMUFCLR,,2,209.87
JXNFVN,,,1,408.79
AUNJDN,,,2,255.86
RKURTP,LZDRTTXHQLPRGV,EIOGCIACGSZR,2,334.39
CTPOVC,LKELKCNVRNGNLT,,2,52.84
FBWLUP,,,2,33.86
ZDSDUM,IWOJACTUWTAYDF,,1,114.19
PSCQJI,LMYJDOTNBUCGTB,,2,483.18
WKULXY,,,3,53.54
TPQRHQ,,,1,130.68
ISFVPL,,,2,624.65
LIXOXM,MQJTMSBWBMQMJO,,2,222.19
FJYHUU,ORTDQPZSECNGNH,,3,105.74
KKZQOJ,VUBHYQLZZQROWD,,2,553.58
OQIFZP,WVYMWKVENAHSIM,TRGQFPRMPMKH,1,18.11
MVVEHQ,ROCIYTFQLJAXXB,,2,303.5
WUVKFZ,ETJCIXNTVDVENS,,1,565.62
RUISLR,,,2,164.99
JDRJTS,RSTPLLWFJLRBUE,SEAIPPZCFTMT,3,409.44
EKKOOR,,,3,149.29
VAWVRW,RSEOERAMJIBWMW,,2,358.15
YJECOC,UIZQAVHZPHDQHM,,3,630.75
STFYQK,LPCUWFVOMPMJHL,TEEZYOXYPIXH,1,197.75
BDBUTG,EZDEDJGIHMENYM,DEZZADGXKNID,1,178.37
CPHUXN,BNEJSUAGGVCLFH,DZIHWNYCQAAP,3,616.78
CDDUDX,LOYGDVOZJJRPCJ,,3,179.06
VKHMGM,,,2,523.94
URNEID,ATJMTHEDQNVYFC,WXJBRSYCPVEJ,2,39.93
IFPGXE,,,1,448.67
XFVEGQ,,,1,228.4
ABIYWS,,,3,82.41
RRSZZZ,,,1,502.67
IZAXMS,RVAJCHXCSSLQFH,QQVRQQKEFSUD,3,395.5
QITLAA,,,3,175.92
UJOQNF,,,2,195.88
JHODYF,GWUQILVCDNPSOC,SNLJCRJQSPEA,1,125.33
YDANIO,QUBZAGPLRNJHGY,,3,169.3
MNZIBP,,,2,310.44
WZGRSX,,,2,400.35
PKEYSY,BGMCDNYNGFVHEE,SHECMRIUTNAP,3,182.98
MPKFNL,EMUWNDKQDSYBXT,,1,284.26
MYECSL,TTGKVEJKUIYEQL,ACOFIGGRXNHN,2,150.81
AYFDHX,,,1,496.5
NXWFEL,QRNAVWLPUZQITP,UILXCLLKXFYZ,3,613.8
AYHTKP,KMIHLZGZDVBAXV,XORQGLIIJGUU,1,258.76
DYVEDL,RSMXRRWSZPZKQF,KAHPSMFKNMJL,1,270.19
PPOTLS,,,1,324.8
GCSTRX,JVNHZDYBSEHRND,TFKBSXHECNWZ,1,591.11
DRYQOV,TYWVSZXFCCRJGO,,2,282.71
XNQRCF,MGWKMVNHKPDSEL,JRBQYOARNGOJ,1,200.04
EMYHAF,,,1,340.6
UEFAHR,BEMYPOPDEWWCAN,JOZMAMBYRPLM,2,166.97
QUBEYM,,,1,634.3
OAROIL,VCYYEZBOLSPETA,INXMZSHKKQHB,2,417.35
XTGHWF,,,2,42.24
LMJSOG,,,2,395.35
YCFJDW,CZCBWGVPRKZQSC,,1,437.86
BOCEOY,,,2,523.58
RKNUMO,,,3,436.16
QCUXAB,,,1,309.91
YDHGTL,FZURKKZQCNWNTK,LAZPTOGZBMSH,1,527.7
JQXCOZ,HPSCSBBAHVLGIP,,1,97.17
RQSDQK,YALKNKNHYKASVG,IWYTXBLVFQEV,2,610.12
PIQXGD,OTFPKCDTUIXBBS,RUSZAHEHIADP,1,222.4
VRJPOO,,,2,321.68
VNGWJH,,,3,425.72
RTXBZT,,,1,138.97
BTVHKY,,,2,267.57
CAFNGL,JYHQODFBHGGQEX,,3,155.28
UAHUNC,WCZXVIGFOCRPXQ,,1,553
ZWXUJQ,,,3,167.58
PTEIHD,ZERAILZOGWGXUF,,1,384.23
VESOKM,,,1,190.54
DIXFWF,,,3,490.35
WSZCDZ,,,3,65.44
ASATPY,,,1,326.4
ZEEIOL,,,2,333.32
CWGWLL,TQOEYGPXOUPOFI,,3,543.17
IMFIAS,VYZPQXWGLBFHVC,DDGIQZRGZQDW,1,32.69
DQWVLQ,IJVQUWMXEAZDIE,BHIMWHLLPQNL,1,530.08
POOKKA,,,3,180.65
IJDGYX,,,2,383.92
LYGWFX,,,1,48.58
QJNWGA,LLFXMPKKEMDZZU,,3,120.6
TLSPCI,,,3,270.74
AZAQIL,,,2,287.6
XBDFYQ,NSJERDKRNAJKQR,WJGDMLWCCRMN,2,291.99
STBDQC,,,1,538.98
ZFHWRK,,,1,57.78
ZWIFTO,,,3,277.56
JYWLGD,,,1,408.1
EBQGPI,DIAXFQBCNOSZFB,ALCQINZXVPIF,1,635.32
SLECQL,CBUKNMZBZVMMGR,DZAMJLFBHMTD,3,391.61
HYOZUS,,,2,419.09
WAZNPR,EFZJDRWSSZMXGX,IUVHTJMWHZRE,1,24.51
DODEOW,,,1,417.16
QCUXAB,LIXJFAGPUVHPQW,OHYOGMUIOVJV,3,255.54
QNWXKX,,,2,525.75
JVIRSB,,,2,185.58
LFPJSY,WCXFAOLWFRTUUJ,,1,485.13
DGTCUL,,,1,368.41
BLKNSA,CWIMLMOPZARVSX,,1,97.78
ADKTED,,,3,328.09
TPAZGG,,,2,503.75
QSUVNC,,,2,14.56
OJLAEU,,,3,164.34
LZKVQQ,,,3,377.38
GCMCOU,PGQROZBQDXKACZ,,2,175.03
EAPYRN,MAKZDZVIVRBYVI,PAFBQBSNPMBC,1,524.45
XYGUSC,,,2,507.09
ZOGFYB,YSIZYUWNWYXSBI,XPIRAGDALVKX,1,455.6
QNIYUA,,,3,355.31
XUCLOU,QMHXXSWGVILRYG,XUTWHRRETSKF,3,343.19
RVBAPK,FKRQIJIBHYMYKU,,1,107.52
NOQBAW,,,3,115.39
SJEETS,,,2,122.41
OJFVUD,,,1,648.09
DEKYDA,KQJDUFDNXPNFDH,GUVURVHNIMIL,2,42.78
EXNKCT,,,3,239.66
ZTYBKK,GRFHKUTJJHHQRD,TGIOBRFXTZXD,3,534.54
WAPZQX,,,2,319.86
JHEZNK,,,3,620.64
YGARPD,,,2,226.7
ZHZJNW,QBBHWXBLYMKPLN,MQJLIFPMXGLS,3,244.83
HTOMWO,,,1,340.99
TWXWEU,,,3,372.93
XKOEZX,XUVVDDVFKWRZVS,TWZSJBTSVTRS,1,394.73
WHZCUL,,,1,593.75
KBCKNL,DZONTXCAWKDWHS,PSWNOXRZCRDK,3,150.65
AKJQTE,MFKXSSJNSCCIMH,VEYTAJWTWEUG,3,329.69
JCCQNB,QMADWMVLEDQSPS,ZIGVWCWQCUWS,3,188.64
JFKZWI,,,3,175.13
PUWAGA,HLGIDCYNNUZMLQ,YBBHPLXOFSCX,2,224.71
YBHMNU,SGWEZEUJSPMXMB,AOHMNUFGPAIL,2,509.43
SNJLGS,ZQHDNJTTIAYECZ,XQJEJSSSWDLO,1,551.76
QZGGDA,,,1,562.76
IFFHXT,,,1,537.22
VFDHCP,,,2,35.06
MUMCCR,EZLKATYPGHQGAJ,,1,711.01
SESQIA,PFDKRUMIBJQYIG,,1,311.74
OQXTWZ,VLCCNRALVJMQQN,LAVENWXTPHYV,1,567.77
PLDPXJ,,,2,389.73
TLSPCI,WVSRGFDXKEDUAT,,1,213.86
TPAZGG,NSHJCRAVGQCHGR,,2,380.03
KSPIYE,GSEUNCTWPDTWSU,MPDOGSOXCMCB,1,429.53
INPTUM,IXZBWJHXAWEXPY,,1,359.62
EZUQOE,LTFVOLGSBFQQPO,RFBOPQBSMJND,3,202.05
UTDYTZ,,,2,282.04
CAYCGU,,,1,234.37
TQUQFY,RSEOERAMJIBWMW,,2,420.77
PHUQFL,,,2,297.33
FFQZAK,KAFTCONUJCNALJ,OGDBQGWONQKU,3,314.49
EZUMDD,CEHWPWZAZBSJGU,,1,378.56
ITVPFZ,RSEOERAMJIBWMW,,1,470.13
